name
waymar royce
will
waymar royce
will
gared
royce
gared
royce
will
royce
royce
will
gared
royce
gared
jon snow
jon snow
septa mordane
sansa stark
septa mordane
eddard stark
jon snow
robb stark
jonrobb
cassel
eddard stark
catelyn stark
eddard stark
cassel
eddard stark
catelyn stark
eddard stark
robb stark
will
will
eddard stark
will
eddard stark
jon snow
eddard stark
jon snow
eddard stark
jon snow
eddard stark
bran stark
eddard stark
bran stark
eddard stark
bran stark
eddard stark
bran stark
eddard stark
jon snow
theon greyjoy
eddard stark
theon greyjoy
eddard stark
eddard stark
robb stark
jon snow
jon snow
bran stark
cassel
eddard stark
theon greyjoy
bran stark
robb stark
theon greyjoy
bran stark
eddard stark
jon snow
eddard stark
bran stark
jon snow
robb stark
theon greyjoy
jaime lannister
cersei lannister
jaime lannister
cersei lannister
jaime lannister
cersei lannister
jaime lannister
cersei lannister
jaime lannister
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
catelyn stark
maester luwin
catelyn stark
luwin
catelyn stark
jon snow
theon greyjoy
robb stark
theon greyjoy
robb stark
catelyn stark
bran stark
catelyn stark
bran stark
catelyn stark
bran stark
catelyn stark
bran stark
catelyn stark
catelyn stark
eddard stark
arya stark
eddard stark
robert baratheon
robert baratheon
catelyn stark
robert baratheon
eddard stark
arya stark
sansa stark
robert baratheon
arya stark
robert baratheon
arya stark
sansa stark
eddard stark
catelyn stark
robert baratheon
cersei lannister
robert baratheon
cersei lannister
eddard stark
robert baratheon
eddard stark
robert baratheon
eddard stark
robert baratheon
eddard stark
robert baratheon
tyrion lannister
ros
tyrion lannister
ros
tyrion lannister
ros
tyrion lannister
ros
tyrion lannister
ros
tyrion lannister
ros
tyrion lannister
tyrion lannister
jaime lannister
ros
tyrion lannister
jaime lannister
tyrion lannister
jaime lannister
tyrion lannister
jaime lannister
tyrion lannister
robert baratheon
eddard stark
robert baratheon
robert baratheon
eddard stark
robert baratheon
viserys
viserys
daenerys targaryen
viserys
daenerys targaryen
viserys
maid
viserys
illyrio
illyrio
viserys
illyrio
viserys
illyrio
viserys
illyrio
illyrio
viserys
illyrio
viserys
illyrio
viserys
illyrio
viserys
daenerys targaryen
viserys
daenerys targaryen
viserys
sansa stark
catelyn stark
sansa stark
sansa stark
catelyn stark
sansa stark
catelyn stark
sansa stark
catelyn stark
sansa stark
benjen
jon snow
benjen
jon snow
benjen
jon snow
benjen
jon snow
benjen
jon snow
benjen
jon snow
benjen
tyrion lannister
jon snow
tyrion lannister
jon snow
tyrion lannister
tyrion lannister
jon snow
tyrion lannister
jon snow
tyrion lannister
benjen
eddard stark
benjen
eddard stark
benjen
eddard stark
benjen
eddard stark
robb stark
benjen
robb stark
catelyn stark
cersei lannister
catelyn stark
cersei lannister
sansa stark
cersei lannister
sansa stark
cersei lannister
sansa stark
cersei lannister
cersei lannister
cersei lannister
catelyn stark
cersei lannister
eddard stark
jaime lannister
eddard stark
jaime lannister
eddard stark
jaime lannister
eddard stark
jaime lannister
sansa stark
robb stark
eddard stark
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
a voice
eddard stark
luwin
eddard stark
catelyn stark
eddard stark
catelyn stark
eddard stark
catelyn stark
luwin
catelyn stark
luwin
catelyn stark
luwin
viserys
illyrio
viserys
illyrio
viserys
illyrio
jorah mormont
daenerys targaryen
jorah mormont
illyrio
daenerys targaryen
daenerys targaryen
jorah mormont
viserys
khal drogo
daenerys targaryen
daenerys targaryen
sandor clegane
tyrion lannister
sandor clegane
tyrion lannister
sandor clegane
robert baratheon
eddard stark
robert baratheon
eddard stark
robert baratheon
bran stark
cersei lannister
jaime lannister
cersei lannister
jaime lannister
cersei lannister
jaime lannister
bran stark
jaime lannister
jaime lannister
jorah mormont
daenerys targaryen
jorah mormont
doreah
